country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","23-06-2026 16:00:00",29.61075,74.283608,SO2,1,7,2
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","23-06-2026 16:00:00",26.9502929,75.730943,PM10,NA,NA,NA
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","23-06-2026 16:00:00",26.9502929,75.730943,CO,23,63,43
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","23-06-2026 16:00:00",26.960669,75.771817,PM2.5,43,107,65
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","23-06-2026 16:00:00",26.960669,75.771817,PM10,97,193,133
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","23-06-2026 16:00:00",26.960669,75.771817,NO2,16,74,39
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","23-06-2026 16:00:00",26.215415,73.070156,NH3,7,8,8
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","23-06-2026 16:00:00",25.196024,75.855668,CO,13,26,17
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","23-06-2026 16:00:00",25.16409,75.858137,NO2,22,62,33
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","23-06-2026 16:00:00",25.16409,75.858137,CO,10,20,17
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","23-06-2026 16:00:00",25.16409,75.858137,OZONE,41,64,55
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","23-06-2026 16:00:00",25.14389,75.821256,NH3,NA,NA,NA
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","23-06-2026 16:00:00",27.213494,73.734444,NH3,3,7,4
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","23-06-2026 16:00:00",25.771061,73.340227,PM10,112,165,133
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","23-06-2026 16:00:00",24.041198,74.780702,PM2.5,10,85,33
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB","23-06-2026 16:00:00",25.03636,73.883502,PM2.5,17,47,31
India,"Uttar Pradesh",Agra,"Sanjay Palace, Agra - UPPCB","23-06-2026 16:00:00",27.19865833,78.00598056,NH3,NA,NA,NA
India,"Uttar Pradesh",Agra,"Rohta, Agra - UPPCB","23-06-2026 16:00:00",27.106972,78.000111,NO2,14,16,15
India,"Uttar Pradesh",Agra,"Rohta, Agra - UPPCB","23-06-2026 16:00:00",27.106972,78.000111,OZONE,10,11,11
India,"Uttar Pradesh",Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","23-06-2026 16:00:00",28.964949,77.278761,PM10,93,246,152
India,"Uttar Pradesh",Bareilly,"Rajendra Nagar, Bareilly - UPPCB","23-06-2026 16:00:00",28.38910936,79.42963708,NH3,1,1,1
India,"Uttar Pradesh",Bareilly,"Rajendra Nagar, Bareilly - UPPCB","23-06-2026 16:00:00",28.38910936,79.42963708,SO2,4,6,5
India,"Uttar Pradesh",Bareilly,"Rajendra Nagar, Bareilly - UPPCB","23-06-2026 16:00:00",28.38910936,79.42963708,CO,30,34,33
